Section 5 - Security and the Practice,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
,,,"Yes. We have written procedures documenting termination or change of access to ePHI upon termination or change of employment, but not detailing all of the variables listed above.","Changes to access to ePHI should be documented in the event of device recovery, deactivation of user access, and changes in access levels or privileges. Policy documentation should include details on how the process is completed. When an employee leaves your organization, ensure that procedures are executed to terminate the employee's access immediately. Prompt user termination prevents former employees from accessing patient data and other sensitive information after they have left the organization. This is very important for organizations that use cloud-based systems where access is based on credentials, rather than physical presence at a particular computer. Similarly, if an employee changes jobs within the organization, it is important to terminate access related to the employee's former position before granting access based on the requirements for the new position.",0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(C) 
NIST CSF: PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 3"
,,,"Yes. We have a verbal process to ensure access to ePHI is changed or terminated as needed, but no written procedures.","Changes to access to ePHI should be documented in the event of device recovery, deactivation of user access, and changes in access levels or privileges. Policy documentation should include details on how the process is completed. When an employee leaves your organization, ensure that procedures are executed to terminate the employee's access immediately. Prompt user termination prevents former employees from accessing patient data and other sensitive information after they have left the organization. This is very important for organizations that use cloud-based systems where access is based on credentials, rather than physical presence at a particular computer. Similarly, if an employee changes jobs within the organization, it is important to terminate access related to the employee's former position before granting access based on the requirements for the new position.",0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(C) 
NIST CSF: PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 3"
,,,No. We do not have a process to ensure access to ePHI is changed or terminated as needed.,"Individuals without a need to know can access your practice's ePHI if it does not have documented policies and procedures for terminating authorized access to its facilities, information systems, and ePHI once the need for access no longer exists. When an employee leaves your organization, ensure that procedures are executed to terminate the employee's access immediately. Prompt user termination prevents former employees from accessing patient data and other sensitive information after they have left the organization. This is very important for organizations that use cloud-based systems where access is based on credentials, rather than physical presence at a particular computer. Similarly, if an employee changes jobs within the organization, it is important to terminate access related to the employee's former position before granting  access based on the requirements for the new position. ",0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(C) 
NIST CSF: PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(C) 
NIST CSF: PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 3"
,Notes,,,,,,,
22,"Do you have procedures for terminating or changing third-party access across your organization when the contract, business associate agreement, or other arrangement with the third party ends or is changed?",,,,,,,
,,,Yes,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. When a contract with a business associate or third party is terminated, ensure that procedures are executed to terminate the access immediately. Prompt user termination prevents business associates or third parties from accessing patient data and other sensitive information after the contract is terminated with the organization. This is very important for organizations that use cloud-based systems where access is based on credentials, rather than physical presence at a particular computer. ",1,,Addressable,"HIPAA: §164.308(a)(3)(ii)(C) 
NIST CSF: PR.AA, PR.IR, PR.PS 
HPH CPG: 10 
HICP: TV1 - Practice # 3"
,,,No,"Ensure that access to ePHI by third parties is terminated or changed appropriately when your contractual relationship with them ends or changes. When a contract with a business associate or third party is terminated, ensure that procedures are executed to terminate the access immediately. Prompt user termination prevents business associates or third parties from accessing patient data and other sensitive information after the contract is terminated with the organization. This is very important for organizations that use cloud-based systems where access is based on credentials, rather than physical presence at a particular computer.",0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(C) 
NIST CSF: PR.AA, PR.IR, PR.PS 
HPH CPG: 10 
HICP: TV1 - Practice # 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(C) 
NIST CSF: PR.AA, PR.IR, PR.PS 
HPH CPG: 10 
HICP: TV1 - Practice # 3"
,Notes,,,,,,,
23,How do you ensure media is sanitized prior to re-use?,,,,,,,
,,,"We have a process to completely purge data from all devices prior to re-use through device reimaging, degaussing, or other industry standard method; our method conforms to guidelines in NIST SP 800-88 and OCR Guidance to Render Unsecured Protected Health Information Unusable, Unreadable, or Indecipherable to Unauthorized Individuals.","This is an effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Ensure that obsolete data are removed or destroyed properly so they cannot be accessed by cyber-thieves. Just as paper medical and financial records must be fully destroyed by shredding or burning, digital data must be properly disposed of to ensure that they cannot be inappropriately recovered. Discuss options for properly disposing of outdated or unneeded data with your IT support. Create and document policies and procedures that outline the process by which media is sanitized prior to disposal. Do not assume that deleting or erasing files means that the data are destroyed.",1,,Required,"HIPAA: §164.310(d)(2)(ii) 
NIST CSF: PR.PS, PR.MA 
HPH CPG: 11, 16 
HICP: TV1 - Practice # 4"
,,,"We sometimes remove ePHI from devices using a method that conforms to guidelines in NIST SP 800-88 and OCR Guidance to Render Unsecured Protected Health Information Unusable, Unreadable, or Indecipherable to Unauthorized Individuals, but not always, prior to re-use.","Implement procedures for removal of ePHI from electronic media before the media are made available for re-use. Ensure that obsolete data are removed or destroyed properly so they cannot be accessed by cyber-thieves. Just as paper medical and financial records must be fully destroyed by shredding or burning, digital data must be properly disposed of to ensure that they cannot be inappropriately recovered. Discuss options for properly disposing of outdated or unneeded data with your IT support. Create and document policies and procedures that outline the process by which media is sanitized prior to disposal. Do not assume that deleting or erasing files means that the data are destroyed.",0,,Required,"HIPAA: §164.310(d)(2)(ii) 
NIST CSF: PR.PS, PR.MA 
HPH CPG: 11, 16 
HICP: TV1 - Practice # 4"
,,,We delete files with ePHI from devices but do not do anything else to purge data prior to re-use.,"Deleting files does not fully purge data from the device. Implement procedures for removal of ePHI from electronic media before the media are made available for re-use. Ensure that obsolete data are removed or destroyed properly so they cannot be accessed by cyber-thieves. Just as paper medical and financial records must be fully destroyed by shredding or burning, digital data must be properly disposed of to ensure that they cannot be inappropriately recovered. Discuss options for properly disposing of outdated or unneeded data with your IT support. Create and document policies and procedures that outline the process by which media is sanitized prior to disposal. Do not assume that deleting or erasing files means that the data are destroyed.",0,,Required,"HIPAA: §164.310(d)(2)(ii) 
NIST CSF: PR.PS, PR.MA 
HPH CPG: 11, 16 
HICP: TV1 - Practice # 4"
,,,We do not have a process to remove ePHI from devices prior to re-use.,"Implement procedures for removal of ePHI from electronic media before the media are made available for re-use. Ensure that obsolete data are removed or destroyed properly so they cannot be accessed by cyber-thieves. Just as paper medical and financial records must be fully destroyed by shredding or burning, digital data must be properly disposed of to ensure that they cannot be inappropriately recovered. Discuss options for properly disposing of outdated or unneeded data with your IT support. Create and document policies and procedures that outline the process by which media is sanitized prior to disposal. Do not assume that deleting or erasing files means that the data are destroyed.",0,,Required,"HIPAA: §164.310(d)(2)(ii) 
NIST CSF: PR.PS, PR.MA 
HPH CPG: 11, 16 
HICP: TV1 - Practice # 4"
,,,"We have a third-party business associate sanitize devices for the practice prior to their re-use. The business associate does not provide a certificate of proper disposal identifying the sanitized devices individually (e.g., with serial numbers).","Document procedures for removal of ePHI from electronic media before the media are made available for re-use. Make sure your practice maintains detailed records of the sanitization performed and have a BAA in place with the business associate. Ensure that obsolete data are removed or destroyed properly so they cannot be accessed by cyber-thieves. Just as paper medical and financial records must be fully destroyed by shredding or burning, digital data must be properly disposed of to ensure that they cannot be inappropriately recovered. Discuss options for properly disposing of outdated or unneeded data with your IT support. Create and document policies and procedures that outline the process by which media is sanitized prior to disposal. Do not assume that deleting or erasing files means that the data are destroyed.",0,,Required,"HIPAA: §164.310(d)(2)(ii) 
NIST CSF: PR.PS, PR.MA 
HPH CPG: 11, 16 
HICP: TV1 - Practice # 4"
,,,"We have a third-party business associate sanitize devices for the practice prior to their re-use. The business associate always provide a certificate of proper disposal identifying the sanitized devices individually (e.g., with serial numbers).","This is an effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Ensure that obsolete data are removed or destroyed properly so they cannot be accessed by cyber-thieves. Just as paper medical and financial records must be fully destroyed by shredding or burning, digital data must be properly disposed of to ensure that they cannot be inappropriately recovered. Discuss options for properly disposing of outdated or unneeded data with your IT support. Create and document policies and procedures that outline the process by which media is sanitized prior to disposal. Do not assume that deleting or erasing files means that the data are destroyed.",1,,Required,"HIPAA: §164.310(d)(2)(ii) 
NIST CSF: PR.PS, PR.MA 
HPH CPG: 11, 16 
HICP: TV1 - Practice # 4"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.310(d)(2)(ii) 
NIST CSF: PR.PS, PR.MA 
HPH CPG: 11, 16 
HICP: TV1 - Practice # 4"
,Notes,,,,,,,
,,,,,,,,
Threats & Vulnerabilities,,,,,,Likelihood,Impact,Risk Score
1,Inadequate facility access management procedures where information systems reside,,,,,,,
,,,Unauthorized access to facility occurs undetected,,,,,
,,,Workforce and visitors access critical or sensitive business areas without authorization,,,,,
,,,Increased response time to respond to facility security incidents,,,,,
,,,Inconsistency in granting access to facilities,,,,,
2,Inadequate physical protection for information systems,,,,,,,
,,,Access allowed by unauthorized personnel,,,,,
,,,Adversary access to unauthorized network segments (via wireless penetration or USB/removable media),,,,,
,,,Insider tampering of sensitive network equipment,,,,,
,,,"Disruption of business processes, information system function, and/or prolonged adversarial presence within information systems",,,,,
,,,"Information disclosure or theft (ePHI, proprietary, intellectual, or confidential)",,,,,
,,,Exploitation of unpatched systems and software,,,,,
,,,Unauthorized access to or modification of ePHI/sensitive information,,,,,
,,,Adversarial sniffing/wiretapping/eavesdropping on network traffic,,,,,
3,Undocumented location of equipment or assets,,,,,,,
,,,Unconfirmed identity of connected physical devices/equipment,,,,,
,,,Unauthorized devices gaining access to the network,,,,,
,,,Unconfirmed identity of connected devices/equipment,,,,,
,,,Exploitation of unsecured computer systems,,,,,
4,Inadequate access controls for business associate and vendor access,,,,,,,
,,,Adversary leverages third-party access to gain access to facility and devices,,,,,
,,,Adversary leverages third-party permissions or credentials to access data or assets,,,,,
,,,Uncontrolled access used to disrupt or steal equipment or data,,,,,
,,,Damage to public reputation due to breach,,,,,
,,,ePHI accessed by unauthorized entities,,,,,
,,,Inability to confirm identity of visitor throughout the facility,,,,,
,,,Inability to monitor physical location of business associates and vendors within the facility,,,,,
,,,Tampering of sensitive network equipment,,,,,
5,Inadequate sanitation of media,,,,,,,
,,,"Information disclosure or theft (ePHI, proprietary, intellectual, or confidential)",,,,,
,,,Disclosure of passwords and or login information,,,,,
,,,Unauthorized access to ePHI/sensitive information,,,,,
,,,Unknown disposition of unused devices and data,,,,,
,,,Unauthorized modification of user accounts and/or permissions,,,,,
6,Inadequate procedures for proper workstation and connected network device security,,,,,,,
,,,Appropriate security settings may not be applied to all devices/equipment,,,,,
,,,Unauthorized connected devices/equipment on the network,,,,,
,,,Unauthorized access to or modification of ePHI/sensitive information,,,,,
,,,"Information disclosure or theft (ePHI, proprietary, intellectual, or confidential)",,,,,
,,,"Workstations or devices tampered with, lost, or destroyed",,,,,
7,Failure to ensure user accounts are configured with appropriate permissions,,,,,,,
,,,Access granted to and maintained by unauthorized persons,,,,,
,,,Adversary gaining access to unauthorized areas of the facility,,,,,
,,,Adversary retains presence within or access to information systems,,,,,
,,,Damage to public reputation due to breach,,,,,
,,,Disclosure of passwords and or login information,,,,,
,,,ePHI shared with business associates/vendors improperly,,,,,
,,,Exploiting unpatched systems and software,,,,,
,,,Tampering of sensitive network equipment,,,,,
,,,Unauthorized access to ePHI,,,,,
,,,Unauthorized access to sensitive information  ,,,,,
,,,Unauthorized modification to ePHI,,,,,
